ticker,date,TotalDebt_x,TotalDebt_y,AccountsReceivable,FreeCashFlow,FinancingCashFlow,OperatingCashFlow
ED,2019-12-31,22539000000.0,22539000000.0,1236000000.0,-352000000,859000000,3134000000
ED,2020-12-31,25079000000.0,25079000000.0,1701000000.0,-1711000000,2245000000,2198000000
ED,2021-12-31,25362000000.0,25362000000.0,1943000000.0,-1220000000,461000000,2733000000
EIX,2018-12-31,15431000000.0,15431000000.0,730000000.0,-1332000000,82000000,3177000000
EIX,2019-12-31,19586000000.0,19586000000.0,788000000.0,-5184000000,4903000000,-307000000
EIX,2020-12-31,24147000000.0,24147000000.0,1130000000.0,-4221000000,3727000000,1263000000
EIX,2021-12-31,29533000000.0,29533000000.0,1398000000.0,-5345000000,5218000000,158000000
EL,2018-06-30,3544000000.0,3544000000.0,1487000000.0,1944000000,-1172000000,2573000000
EL,2019-06-30,3412000000.0,3412000000.0,1831000000.0,1773000000,-2173000000,2517000000
EL,2020-06-30,8789000000.0,8789000000.0,1194000000.0,1657000000,1461000000,2280000000
EL,2021-06-30,8099000000.0,8099000000.0,1702000000.0,2994000000,-1892000000,3631000000
ELY,2018-12-31,49929000.0,49929000.0,71374000.0,55457000,-75070000,92282000
ELY,2019-12-31,759270000.0,759270000.0,140455000.0,31848000,492516000,86550000
ELY,2020-12-31,894868000.0,894868000.0,138482000.0,188976000,96066000,228238000
ELY,2021-12-31,2952698000.0,2952698000.0,105331000.0,-44017000,-124072000,278257000
EOG,2018-12-31,6083262000.0,6083262000.0,1915215000.0,1692133000,-839103000,7768608000
EOG,2019-12-31,5544808000.0,5544808000.0,2001658000.0,1740654000,-1513321000,8163180000
EOG,2020-12-31,6111494000.0,6111494000.0,1522256000.0,1543083000,-359025000,5007783000
EOG,2021-12-31,5907000000.0,5907000000.0,2335000000.0,4941000000,-3493000000,8791000000
EQNR,2018-12-31,25727000000.0,25727000000.0,6777000000.0,8327000000,-5024000000,19694000000
EQNR,2019-12-31,29032000000.0,29032000000.0,6483000000.0,3545000000,-5496000000,13749000000
EQNR,2020-12-31,38115000000.0,38115000000.0,6543000000.0,1910000000,2991000000,10386000000
EQNR,2021-12-31,36239000000.0,36239000000.0,14002000000.0,20776000000,-4836000000,28816000000
ES,2018-12-31,14631725000.0,14631725000.0,994055000.0,-739393000,729937000,1783978000
ES,2019-12-31,15570655000.0,15570655000.0,989383000.0,-901912000,1172450000,2009577000
ES,2020-12-31,17968509000.0,17968509000.0,1195925000.0,-1260424000,2594590000,1682572000
ES,2021-12-31,20219036000.0,20219036000.0,1226069000.0,-1212480000,1440832000,1962600000
ETN,2018-12-31,7521000000.0,7521000000.0,3858000000.0,2093000000,-2581000000,2658000000
ETN,2019-12-31,8653000000.0,8653000000.0,3437000000.0,2864000000,-1494000000,3451000000
ETN,2020-12-31,8384000000.0,8384000000.0,2904000000.0,2555000000,-3258000000,2944000000
ETN,2021-12-31,8916000000.0,8916000000.0,3297000000.0,1588000000,-535000000,2163000000
EVRG,2018-12-31,8526700000.0,8526700000.0,16700000.0,428100000,-1538400000,1497800000
EVRG,2019-12-31,9949800000.0,9949800000.0,7200000.0,226700000,-403900000,822800000
EVRG,2020-12-31,10321100000.0,10321100000.0,5300000.0,193500000,-98400000,1753800000
EVRG,2021-12-31,11165500000.0,11165500000.0,13700000.0,-620800000,443400000,1351700000
FLEX,2019-03-31,3054515000.0,3054515000.0,2612961000.0,-3696630000,-29704000,-2971024000
FLEX,2020-03-31,3367206000.0,3367206000.0,2435982000.0,-1995021000,-508460000,-1533276000
FLEX,2021-03-31,4345000000.0,4345000000.0,4106000000.0,-207000000,743000000,144000000
FLEX,2022-03-31,4748000000.0,4748000000.0,3371000000.0,581000000,280000000,1024000000
FLS,2018-12-31,1483047000.0,1483047000.0,792434000.0,106838000,-173284000,190831000
FLS,2019-12-31,1564880000.0,1564880000.0,795538000.0,246571000,-229654000,312741000
FLS,2020-12-31,1938142000.0,1938142000.0,749179000.0,253132000,147587000,310537000
FLS,2021-12-31,1502242000.0,1502242000.0,715016000.0,195183000,-599707000,250119000
FTNT,2021-12-31,988400000.0,988400000.0,807700000.0,1203800000,82800000,1499700000
FTNT,2018-12-31,,,444500000.0,585900000,-202600000,638900000
FTNT,2019-12-31,,,544300000.0,715800000,-195600000,808000000
FTNT,2020-12-31,,,720000000.0,957800000,-1171600000,1083700000
FTS,2018-12-31,24787000000.0,24787000000.0,538000000.0,-614000000,644000000,2604000000
FTS,2019-12-31,23216000000.0,23216000000.0,504000000.0,-1057000000,154000000,2663000000
FTS,2020-12-31,24863000000.0,24863000000.0,595000000.0,-1338000000,1327000000,2701000000
FTS,2021-12-31,25947000000.0,25947000000.0,621000000.0,-479000000,451000000,2907000000
GD,2018-12-31,12417000000.0,12417000000.0,3759000000.0,2458000000,5086000000,3148000000
GD,2019-12-31,13433000000.0,13433000000.0,3544000000.0,1994000000,-1997000000,2981000000
GD,2020-12-31,14409000000.0,14409000000.0,3161000000.0,2891000000,-903000000,3858000000
GD,2021-12-31,13175000000.0,13175000000.0,3041000000.0,3384000000,-4590000000,4271000000
GE,2018-12-31,109956000000.0,109956000000.0,27573000000.0,-3810000000,-31033000000,4246000000
GE,2019-12-31,94046000000.0,94046000000.0,15728000000.0,2677000000,-16133000000,8772000000
GE,2020-12-31,75066000000.0,75066000000.0,14724000000.0,194000000,-19852000000,3597000000
GE,2021-12-31,38032000000.0,38032000000.0,13079000000.0,1971000000,-45177000000,3332000000
GILD,2018-12-31,27322000000.0,27322000000.0,3327000000.0,7476000000,-12318000000,8400000000
GILD,2019-12-31,24593000000.0,24593000000.0,3582000000.0,8319000000,-7634000000,9144000000
GILD,2020-12-31,31402000000.0,31402000000.0,4892000000.0,7518000000,770000000,8168000000
GILD,2021-12-31,26695000000.0,26695000000.0,4493000000.0,10805000000,-8877000000,11384000000
GLW,2018-12-31,5998000000.0,5998000000.0,1940000000.0,609000000,-1995000000,2919000000
GLW,2019-12-31,8252000000.0,8252000000.0,1836000000.0,44000000,-47000000,2031000000
GLW,2020-12-31,8701000000.0,8701000000.0,2133000000.0,803000000,-729000000,2180000000
GLW,2021-12-31,7829000000.0,7829000000.0,2004000000.0,1775000000,-2452000000,3412000000
GM,2018-12-31,104951000000.0,104951000000.0,33399000000.0,-10241000000,11454000000,15256000000
GM,2019-12-31,104334000000.0,104334000000.0,33398000000.0,-8975000000,-4677000000,15021000000
GM,2020-12-31,110863000000.0,110863000000.0,34244000000.0,-3863000000,5552000000,16670000000
GM,2021-12-31,110391000000.0,110391000000.0,34043000000.0,-6923000000,1744000000,15188000000
GPS,2019-01-31,1249000000.0,1249000000.0,359000000.0,676000000,-749000000,1381000000
GPS,2020-01-31,7677000000.0,7677000000.0,316000000.0,366000000,-560000000,1411000000
GPS,2021-01-31,7664000000.0,7664000000.0,363000000.0,-155000000,895000000,237000000
GPS,2022-01-31,6251000000.0,6251000000.0,399000000.0,115000000,-1471000000,809000000
GWW,2018-12-31,2220000000.0,2220000000.0,1385000000.0,818000000,-670000000,1057000000
GWW,2019-12-31,2215000000.0,2215000000.0,1425000000.0,821000000,-1023000000,1042000000
GWW,2020-12-31,2397000000.0,2397000000.0,1474000000.0,926000000,-726000000,1123000000
GWW,2021-12-31,2762000000.0,2762000000.0,1754000000.0,682000000,-1039000000,937000000
HAL,2018-12-31,10457000000.0,10457000000.0,5234000000.0,1131000000,-1419000000,3157000000
HAL,2019-12-31,11349000000.0,11349000000.0,4577000000.0,915000000,-695000000,2445000000
HAL,2020-12-31,10836000000.0,10836000000.0,3071000000.0,1153000000,-1007000000,1881000000
HAL,2021-12-31,10219000000.0,10219000000.0,3666000000.0,1112000000,-838000000,1911000000
HAS,2018-12-31,1704832000.0,1704832000.0,1188052000.0,505571000,-737101000,645997000
HAS,2019-12-31,4046960000.0,4046960000.0,1410597000.0,519425000,2810573000,653061000
HAS,2020-12-31,5099212000.0,5099212000.0,1391726000.0,850586000,405949000,976340000
HAS,2021-12-31,4025100000.0,4025100000.0,1500400000.0,685200000,-1459800000,817900000
HD,2019-01-31,29202000000.0,29202000000.0,1640000000.0,10596000000,-12420000000,13038000000
HD,2020-01-31,37377000000.0,37377000000.0,1738000000.0,11045000000,-10834000000,13723000000
HD,2021-01-31,43422000000.0,43422000000.0,2550000000.0,16376000000,-2983000000,18839000000
HD,2022-01-31,46269000000.0,46269000000.0,2901000000.0,14005000000,-19120000000,16571000000
HES,2018-12-31,6672000000.0,6672000000.0,1001000000.0,-158000000,-2526000000,1939000000
HES,2019-12-31,7932000000.0,7932000000.0,1170000000.0,-1187000000,52000000,1642000000
HES,2020-12-31,9075000000.0,9075000000.0,860000000.0,-864000000,568000000,1333000000
HES,2021-12-31,9141000000.0,9141000000.0,1211000000.0,1143000000,-591000000,2890000000
HON,2018-12-31,16214000000.0,16214000000.0,7508000000.0,5606000000,-5032000000,6434000000
HON,2019-12-31,16707000000.0,16707000000.0,7493000000.0,6058000000,-6600000000,6897000000
HON,2020-12-31,23212000000.0,23212000000.0,6827000000.0,5302000000,-81000000,6208000000
HON,2021-12-31,20631000000.0,20631000000.0,6830000000.0,5143000000,-8254000000,6038000000
HPE,2018-10-31,12141000000.0,12141000000.0,3117000000.0,8000000,-5592000000,2964000000
HPE,2019-10-31,13820000000.0,13820000000.0,6323000000.0,1141000000,-1548000000,3997000000
HPE,2020-10-31,17027000000.0,17027000000.0,6975000000.0,-143000000,883000000,2240000000
HPE,2021-10-31,14578000000.0,14578000000.0,7705000000.0,3369000000,-3364000000,5871000000
HPQ,2018-10-31,5987000000.0,5987000000.0,5113000000.0,3982000000,-5643000000,4528000000
